ID,Labeled Data,Label,Created By,Project Name,Created At,Seconds to Label,External ID,Agreement,Dataset Name,Reviews
cjl1fponv8nrd07774y0bpyc6,"Get dressed up, go to a movie, a restaurant, shopping, walk in the park, or at the mall, drive in the country, or turn off the T.V. and the cell phones, and turn on some George Jones, or Conway Twitty, or Marvin Gaye, Barry White and hold each other close, and move to the rhythm and let the sparks fly.",neutral,nikbarbagallo@me.com,Sermons_labelling,1534718406000,10.502,http://www.sermoncentral.com/sermons/--left-our-first-love-at-home--jimmy-haile-sermon-on-marriage-182822.asp,,gay_para_1000_NOSODOM.csv,[]
cjky02vap2wh40784mcrdr32h,&gt;&gt; Powers -- there are powerful people in this world in leadership positions that are influenced and empowered by Satan. We know that a truly born again person would never encourage the homosexual movement; therefore it has to be the work of Satan.,negative,nikbarbagallo@me.com,Sermons_labelling,1534510749000,8.254,http://www.sermoncentral.com/sermons/-9-angels-pt-5-------bible-doctrine-william-d-brown-sermon-on-angels-169653.asp,,gay_para_1000_NOSODOM.csv,[]
cjl1fpgnm8nqd0777zubces70,"a. Information from website http://www.abortionfacts.com/literature/literature_9410CV.asp --- Nowhere in the Bible does it say ""Thou shalt not abort your children."" Neither will you find specific words forbidding suicide, infanticide (killing newborn children) or same-sex marriages. Yet, the Bible clearly teaches us that these things are wrong. A small, but noisy group of people (who are very active on the Internet) wish to have you believe that the Bible condones abortion. Although it doesn’t take a Biblical scholar to conclude that the Bible forbids abortion, it may help you to see the facts laid out. Simply put, the Bible forbids killing innocent persons. If an unborn child is a person, abortion is prohibited by the Bible. Let’s look at the evidence:",negative,nikbarbagallo@me.com,Sermons_labelling,1534718395000,18.462,http://www.sermoncentral.com/sermons/-what-are-a-mothers-responsibilities-michael-mccartney-sermon-on-parenting-106604.asp,,gay_para_1000_NOSODOM.csv,[]
cjl1fp2g78nok0777nuk9pkdb,What Should A Christian Believe About Homosexuality?,neutral,nikbarbagallo@me.com,Sermons_labelling,1534718377000,3.994,http://www.sermoncentral.com/sermons/1-a-call-to-the-church-darrell-stetler-ii-sermon-on-homosexuality-195786.asp,,gay_para_1000_NOSODOM.csv,[]
cjl1foz9a8nnk07774rlytjit,Homosexuality is no different from any other sin.,negative,nikbarbagallo@me.com,Sermons_labelling,1534718373000,4.267,http://www.sermoncentral.com/sermons/1-a-call-to-the-church-darrell-stetler-ii-sermon-on-homosexuality-195786.asp,,gay_para_1000_NOSODOM.csv,[]
cjl1fow0o8nmu0777eh34zyd7,"HuffPost’s Gay Voices editor (yes, they have one of those) said this:",neutral,nikbarbagallo@me.com,Sermons_labelling,1534718369000,4.596,http://www.sermoncentral.com/sermons/1-a-call-to-the-church-darrell-stetler-ii-sermon-on-homosexuality-195786.asp,,gay_para_1000_NOSODOM.csv,[]
cjl1fosbs8nm10777igl7bdsh,4. Homosexual behavior is still a sin.,negative,nikbarbagallo@me.com,Sermons_labelling,1534718364000,2.839,http://www.sermoncentral.com/sermons/1-a-call-to-the-church-darrell-stetler-ii-sermon-on-homosexuality-195786.asp,,gay_para_1000_NOSODOM.csv,[]
cjl1foqeh8nl90777mq5vztne,I am being careful here to clarify something. Homosexual temptation is not a sin. Homosexual tendency is not a sin.,neutral,nikbarbagallo@me.com,Sermons_labelling,1534718361000,6.068,http://www.sermoncentral.com/sermons/1-a-call-to-the-church-darrell-stetler-ii-sermon-on-homosexuality-195786.asp,,gay_para_1000_NOSODOM.csv,[]
cjl1folix8nkd0777bpbup1mm,"It is not a sin to have an attraction to the same sex. There are many things that can cause it, including an absent or bad relationship with a father, negative relationships with brothers, physical or sexual abuse, early exposure to sexual content, and more.",negative,nikbarbagallo@me.com,Sermons_labelling,1534718355000,23.118,http://www.sermoncentral.com/sermons/1-a-call-to-the-church-darrell-stetler-ii-sermon-on-homosexuality-195786.asp,,gay_para_1000_NOSODOM.csv,[]
cjl1fo3qx8nhh0777bfsilp8f,Homosexual behavior is a sin. Acting on that tendency is wrong and sinful and God will judge it.,negative,nikbarbagallo@me.com,Sermons_labelling,1534718332000,13.087,http://www.sermoncentral.com/sermons/1-a-call-to-the-church-darrell-stetler-ii-sermon-on-homosexuality-195786.asp,,gay_para_1000_NOSODOM.csv,[]
cjl1fntlh6whi07265hgv0oh3,We are not qualified to deal with homosexuality with a “thou shalt not” unless we are willing to also face the myriad sexual dysfunction and fallout of all kinds of sexual brokenness that is wreaking havoc in our culture.,neutral,nikbarbagallo@me.com,Sermons_labelling,1534718319000,55.105,http://www.sermoncentral.com/sermons/1-a-call-to-the-church-darrell-stetler-ii-sermon-on-homosexuality-195786.asp,,gay_para_1000_NOSODOM.csv,[]
